k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
      54|[1.0249054259095394, 0.9850657347851155]                                        |  0.0007899663178250|      0.00390625|[350, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      55|[1.0249054259095394, 0.9850657347851155]                                        |  0.0007899663178250|      0.00195312|[358, 135, 0, 135]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[1.0238331280076722, 0.9866981791104376]                                        |  0.0007083642994985|      0.00390625|[363, 137, 0, 137]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      57|[1.0199745525825656, 0.9873066072091171]                                        |  0.0005322652868927|      0.00781250|[371, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      58|[1.0199745525825656, 0.9873066072091171]                                        |  0.0005322652868927|      0.00390625|[379, 143, 0, 143]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      59|[1.0199745525825656, 0.9873066072091171]                                        |  0.0005322652868927|      0.00195312|[385, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[1.0190717124609485, 0.9890385358971477]                                        |  0.0004551427555270|      0.00390625|[392, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      61|[1.0190717124609485, 0.9890385358971477]                                        |  0.0004551427555270|      0.00195312|[398, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[1.0174332952632628, 0.9901016851585183]                                        |  0.0003789924958255|      0.00390625|[403, 152, 0, 152]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      63|[1.0174332952632628, 0.9901016851585183]                                        |  0.0003789924958255|      0.00195312|[410, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[1.01548917116318, 0.9902889783754328]                                          |  0.0003167169343214|      0.00390625|[417, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      65|[1.01548917116318, 0.9902889783754328]                                          |  0.0003167169343214|      0.00195312|[423, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
