k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      57|[-1.2288865504903985, 4.620093668166196, 2.695565488406228, 7.01979282479824, 1.7590411431051318, 6.782529882784126]|  2.6730415821075439|      0.20000000|[759, 114, 0, 114]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      58|[-1.2288865504903985, 4.620093668166196, 2.695565488406228, 7.01979282479824, 1.7590411431051318, 6.782529882784126]|  2.6730415821075439|      0.04000000|[772, 116, 0, 116]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      59|[-1.2193259044320628, 4.633761904543664, 2.6821736609164644, 6.986789636074096, 1.764105401453014, 6.777278679190116]|  2.6249985694885254|      0.20000000|[785, 118, 0, 118]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      60|[-1.2193259044320628, 4.633761904543664, 2.6821736609164644, 6.986789636074096, 1.764105401453014, 6.777278679190116]|  2.6249985694885254|      0.04000000|[799, 120, 0, 120]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      61|[-1.206242801842595, 4.652782886098099, 2.6780735608242163, 6.964445709341898, 1.7511100134348956, 6.75773148770342]|  2.5701935291290283|      0.20000000|[812, 122, 0, 122]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      62|[-1.206242801842595, 4.652782886098099, 2.6780735608242163, 6.964445709341898, 1.7511100134348956, 6.75773148770342]|  2.5701935291290283|      0.04000000|[825, 124, 0, 124]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      63|[-1.1802550747013059, 4.662782575076449, 2.6822030524312623, 6.94540506693421, 1.747364735753599, 6.736970505327191]|  2.5255732536315918|      0.20000000|[838, 126, 0, 126]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      64|[-1.1802550747013059, 4.662782575076449, 2.6822030524312623, 6.94540506693421, 1.747364735753599, 6.736970505327191]|  2.5255732536315918|      0.04000000|[852, 128, 0, 128]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      65|[-1.1688861829636235, 4.687232268427849, 2.654734009344602, 6.942896533547942, 1.7519854231330356, 6.727443229957284]|  2.4859492778778076|      0.20000000|[865, 130, 0, 130]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      66|[-1.1688861829636235, 4.687232268427849, 2.654734009344602, 6.942896533547942, 1.7519854231330356, 6.727443229957284]|  2.4859492778778076|      0.04000000|[878, 132, 0, 132]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      67|[-1.1572491529874127, 4.709289604207787, 2.636489689267028, 6.922047161103638, 1.7466258284761713, 6.713960772083304]|  2.4339051246643066|      0.20000000|[892, 134, 0, 134]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      68|[-1.1572491529874127, 4.709289604207787, 2.636489689267028, 6.922047161103638, 1.7466258284761713, 6.713960772083304]|  2.4339051246643066|      0.04000000|[906, 136, 0, 136]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      69|[-1.1489561712102208, 4.7354652785322635, 2.6339890275057747, 6.920622087247676, 1.733358007756006, 6.68823643894325]|  2.3932700157165527|      0.20000000|[920, 138, 0, 138]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      70|[-1.1489561712102208, 4.7354652785322635, 2.6339890275057747, 6.920622087247676, 1.733358007756006, 6.68823643894325]|  2.3932700157165527|      0.04000000|[933, 140, 0, 140]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      71|[-1.1457285678076155, 4.770809455246431, 2.6301374664014134, 6.906114274772143, 1.7305545664561948, 6.677882631924289]|  2.3515050411224365|      0.20000000|[947, 142, 0, 142]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      72|[-1.1457285678076155, 4.770809455246431, 2.6301374664014134, 6.906114274772143, 1.7305545664561948, 6.677882631924289]|  2.3515050411224365|      0.04000000|[960, 144, 0, 144]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      73|[-1.1428858329671876, 4.796490395833287, 2.6338054526513184, 6.882091829984609, 1.7247422665475598, 6.6954352198324525]|  2.3258030414581299|      0.20000000|[973, 146, 0, 146]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      74|[-1.1428858329671876, 4.796490395833287, 2.6338054526513184, 6.882091829984609, 1.7247422665475598, 6.6954352198324525]|  2.3258030414581299|      0.04000000|[986, 148, 0, 148]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      75|[-1.1527499987302743, 4.805868415013934, 2.625390823651173, 6.865136799552388, 1.6948795787503543, 6.682601988384185]|  2.2931847572326660|      0.20000000|[999, 150, 0, 150]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      76|[-1.1527499987302743, 4.805868415013934, 2.625390823651173, 6.865136799552388, 1.6948795787503543, 6.682601988384185]|  2.2931847572326660|      0.04000000|[1012, 152, 0, 152]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      77|[-1.1395386745261435, 4.821375391211636, 2.6183920748413922, 6.854598482945138, 1.665560149091646, 6.669744031911702]|  2.2550053596496582|      0.20000000|[1025, 154, 0, 154]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
      78|[-1.1395386745261435, 4.821375391211636, 2.6183920748413922, 6.854598482945138, 1.665560149091646, 6.669744031911702]|  2.2550053596496582|      0.04000000|[1038, 156, 0, 156]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      79|[-1.1169598027790628, 4.842944020265938, 2.614276387876008, 6.83363015593891, 1.660933662374501, 6.657620715724879]|  2.2072544097900391|      0.20000000|[1051, 158, 0, 158]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
      80|[-1.1169598027790628, 4.842944020265938, 2.614276387876008, 6.83363015593891, 1.660933662374501, 6.657620715724879]|  2.2072544097900391|      0.04000000|[1064, 160, 0, 160]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
