k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
      46|[-0.0128595881508361, 0.0056447618045669, -0.0077582549684731, -0.0038727541333039, 0.2962060307389421, 0.0075795022029959, -0.0022869693553248, -0.0119116935314441, 0.0002347844793177]|224283.9218750000000000|      0.01000000|[1221, 184, 0, 92]                                                         |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      47|[-0.01228546081345, 0.0047571806336, -0.0102412668894811, -0.0013582254795472, 0.304901151432494, 0.0081806097027072, -0.0004150451865233, -0.0115754924047257, -0.0023749644591797]|213544.2500000000000000|      0.10000000|[1247, 188, 0, 94]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      48|[-0.01228546081345, 0.0047571806336, -0.0102412668894811, -0.0013582254795472, 0.304901151432494, 0.0081806097027072, -0.0004150451865233, -0.0115754924047257, -0.0023749644591797]|213544.2500000000000000|      0.01000000|[1274, 192, 0, 96]                                                         |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      49|[-0.0124379466040873, 0.0041080011854807, -0.0116024643810503, -0.0021831346394838, 0.3146984412990452, 0.008138988945432, -6.68656141787e-05, -0.0124657304814394, -0.0020291226888603]|201872.1093750000000000|      0.10000000|[1300, 196, 0, 98]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      50|[-0.0124379466040873, 0.0041080011854807, -0.0116024643810503, -0.0021831346394838, 0.3146984412990452, 0.008138988945432, -6.68656141787e-05, -0.0124657304814394, -0.0020291226888603]|201872.1093750000000000|      0.01000000|[1326, 200, 0, 100]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      51|[-0.0123430725388438, 0.0039803163147311, -0.0114188243528119, -0.0021547687786434, 0.32468160007108, 0.0079250177518036, -5.50688025839e-05, -0.0129459217222461, -0.0020149215753423]|190482.1093750000000000|      0.10000000|[1352, 204, 0, 102]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      52|[-0.0123430725388438, 0.0039803163147311, -0.0114188243528119, -0.0021547687786434, 0.32468160007108, 0.0079250177518036, -5.50688025839e-05, -0.0129459217222461, -0.0020149215753423]|190482.1093750000000000|      0.01000000|[1378, 208, 0, 104]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      53|[-0.0094669183001486, 0.0034921671646224, -0.0119593200249491, -0.0014027515365075, 0.3334650135939878, 0.0076709407301199, 0.0018089858733761, -0.0098080634122947, -0.0023280011862521]|180969.2968750000000000|      0.10000000|[1405, 212, 0, 106]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      54|[-0.0094669183001486, 0.0034921671646224, -0.0119593200249491, -0.0014027515365075, 0.3334650135939878, 0.0076709407301199, 0.0018089858733761, -0.0098080634122947, -0.0023280011862521]|180969.2968750000000000|      0.01000000|[1432, 216, 0, 108]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      55|[-0.0098607606766694, 0.0033796263506622, -0.0117992687070524, -0.0011139894798063, 0.3434243093704925, 0.0073849017346741, 0.0020428804836663, -0.0104179263489806, -0.0024929030868247]|170500.8437500000000000|      0.10000000|[1458, 220, 0, 110]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      56|[-0.0098607606766694, 0.0033796263506622, -0.0117992687070524, -0.0011139894798063, 0.3434243093704925, 0.0073849017346741, 0.0020428804836663, -0.0104179263489806, -0.0024929030868247]|170500.8437500000000000|      0.01000000|[1484, 224, 0, 112]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      57|[-0.0098393780685711, 0.0038810259977212, -0.0112150698136795, -0.0017281989982779, 0.3533513191083653, 0.0070021388435018, 0.0018315866871879, -0.0109351385776218, -0.00233347857856]|160528.3593750000000000|      0.10000000|[1511, 228, 0, 114]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      58|[-0.0098393780685711, 0.0038810259977212, -0.0112150698136795, -0.0017281989982779, 0.3533513191083653, 0.0070021388435018, 0.0018315866871879, -0.0109351385776218, -0.00233347857856]|160528.3593750000000000|      0.01000000|[1538, 232, 0, 116]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      59|[-0.0093687601339651, 0.0044263378982366, -0.0116849078246575, -0.0033780732443234, 0.3629187323666123, 0.005093552137446, 0.0019924821264476, -0.0120860016278058, -0.0022342408075602]|151304.0000000000000000|      0.10000000|[1565, 236, 0, 118]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      60|[-0.0093687601339651, 0.0044263378982366, -0.0116849078246575, -0.0033780732443234, 0.3629187323666123, 0.005093552137446, 0.0019924821264476, -0.0120860016278058, -0.0022342408075602]|151304.0000000000000000|      0.01000000|[1591, 240, 0, 120]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
