k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      52|[0.5237341192769208, 0.5277247755054048, 0.5169673769971, 0.5202578976071506, 0.5211384236755453, 0.517635521512627, 0.518837432137035, 0.5210203791816878, 0.5175697844911283, 0.5243332615775692, 1.0946723750029879, -0.4083471121684417, 0.9416305174471259, 0.9387515481622046, 0.9382175243513406, 0.9403885439110421, 0.8728598656627031, 0.828021191040042, 0.89681296469637, 0.9703630100928561, 0.9528980105542975, 0.9565453358469587]|  0.9511787891387939|      0.12157665|[8081, 560, 0, 140]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      53|[0.5237341192769208, 0.5277247755054048, 0.5169673769971, 0.5202578976071506, 0.5211384236755453, 0.517635521512627, 0.518837432137035, 0.5210203791816878, 0.5175697844911283, 0.5243332615775692, 1.0946723750029879, -0.4083471121684417, 0.9416305174471259, 0.9387515481622046, 0.9382175243513406, 0.9403885439110421, 0.8728598656627031, 0.828021191040042, 0.89681296469637, 0.9703630100928561, 0.9528980105542975, 0.9565453358469587]|  0.9511787891387939|      0.10941899|[8253, 572, 0, 143]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      54|[0.4977294397040532, 0.5019555133963145, 0.4905962289237112, 0.4938993816973283, 0.4950996113511947, 0.4912870358659549, 0.4926172304784271, 0.4948741692679871, 0.4913424621842091, 0.4982272749445855, 1.094436518398008, -0.4776469224009061, 0.9377553652955907, 0.9345815207884475, 0.9340896644307195, 0.9364655754646112, 0.8645492874592102, 0.8168135399114562, 0.8900883118132369, 0.968265920981191, 0.9498326161366101, 0.9536851342710931]|  0.9268757700920105|      0.12157665|[8369, 580, 0, 145]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      55|[0.4977294397040532, 0.5019555133963145, 0.4905962289237112, 0.4938993816973283, 0.4950996113511947, 0.4912870358659549, 0.4926172304784271, 0.4948741692679871, 0.4913424621842091, 0.4982272749445855, 1.094436518398008, -0.4776469224009061, 0.9377553652955907, 0.9345815207884475, 0.9340896644307195, 0.9364655754646112, 0.8645492874592102, 0.8168135399114562, 0.8900883118132369, 0.968265920981191, 0.9498326161366101, 0.9536851342710931]|  0.9268757700920105|      0.10941899|[8543, 592, 0, 148]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      56|[0.4716645657211799, 0.4761520549427224, 0.4642020906887049, 0.4677240068850947, 0.4689653035876937, 0.4648924439423182, 0.4662038943699452, 0.4687109557005573, 0.4649654156950334, 0.472196459194468, 1.093726915510637, -0.5466367583630987, 0.9338460699485596, 0.9304369907279785, 0.9297688261667985, 0.9323351838049003, 0.8558679211235585, 0.8052924780435602, 0.8830278309399632, 0.9660559140280081, 0.946591216659866, 0.9507391106390305]|  0.9031655192375183|      0.12157665|[8661, 600, 0, 150]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      57|[0.4716645657211799, 0.4761520549427224, 0.4642020906887049, 0.4677240068850947, 0.4689653035876937, 0.4648924439423182, 0.4662038943699452, 0.4687109557005573, 0.4649654156950334, 0.472196459194468, 1.093726915510637, -0.5466367583630987, 0.9338460699485596, 0.9304369907279785, 0.9297688261667985, 0.9323351838049003, 0.8558679211235585, 0.8052924780435602, 0.8830278309399632, 0.9660559140280081, 0.946591216659866, 0.9507391106390305]|  0.9031655192375183|      0.10941899|[8833, 612, 0, 153]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      58|[0.4716645657211799, 0.4761520549427224, 0.4642020906887049, 0.4677240068850947, 0.4689653035876937, 0.4648924439423182, 0.4662038943699452, 0.4687109557005573, 0.4649654156950334, 0.472196459194468, 1.093726915510637, -0.5466367583630987, 0.9338460699485596, 0.9304369907279785, 0.9297688261667985, 0.9323351838049003, 0.8558679211235585, 0.8052924780435602, 0.8830278309399632, 0.9660559140280081, 0.946591216659866, 0.9507391106390305]|  0.9031655192375183|      0.09847709|[9005, 624, 0, 156]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      59|[0.4480470174710761, 0.4528101122934765, 0.4404671443078285, 0.4440550030657506, 0.4453621975352539, 0.4410965738209509, 0.4424207437464839, 0.4450865048086374, 0.4412605034532424, 0.4487837691758199, 1.0924426478856266, -0.6084058762805092, 0.9301144145639355, 0.9265210548902314, 0.9259243534396774, 0.9283795523720414, 0.847964074892777, 0.7946414327191553, 0.8766564713822453, 0.963906623592327, 0.9436180478683195, 0.9479779372641807]|  0.8823289871215820|      0.10941899|[9122, 632, 0, 158]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      60|[0.4480470174710761, 0.4528101122934765, 0.4404671443078285, 0.4440550030657506, 0.4453621975352539, 0.4410965738209509, 0.4424207437464839, 0.4450865048086374, 0.4412605034532424, 0.4487837691758199, 1.0924426478856266, -0.6084058762805092, 0.9301144145639355, 0.9265210548902314, 0.9259243534396774, 0.9283795523720414, 0.847964074892777, 0.7946414327191553, 0.8766564713822453, 0.963906623592327, 0.9436180478683195, 0.9479779372641807]|  0.8823289871215820|      0.09847709|[9294, 644, 0, 161]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      61|[0.4247065571583276, 0.4294265723539175, 0.4168034334786057, 0.4203283413792632, 0.4215449324586366, 0.4174345093500394, 0.4186669639591933, 0.4215734747009887, 0.4174333200218172, 0.4251942354306612, 1.0905042818491746, -0.6700289721501306, 0.9263196669921839, 0.9225511246316532, 0.9219964294076475, 0.9243491990670362, 0.8397680540180661, 0.7836541289255843, 0.8702131110339254, 0.9616955675703764, 0.9404922303507943, 0.9452002105504972]|  0.8619667887687683|      0.10941899|[9410, 652, 0, 163]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      62|[0.4247065571583276, 0.4294265723539175, 0.4168034334786057, 0.4203283413792632, 0.4215449324586366, 0.4174345093500394, 0.4186669639591933, 0.4215734747009887, 0.4174333200218172, 0.4251942354306612, 1.0905042818491746, -0.6700289721501306, 0.9263196669921839, 0.9225511246316532, 0.9219964294076475, 0.9243491990670362, 0.8397680540180661, 0.7836541289255843, 0.8702131110339254, 0.9616955675703764, 0.9404922303507943, 0.9452002105504972]|  0.8619667887687683|      0.09847709|[9582, 664, 0, 166]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      63|[0.4010634626841482, 0.4060486201031473, 0.3927227739019699, 0.3966827600938616, 0.3979626808093448, 0.3935423343980048, 0.3949864067984298, 0.3979111433782683, 0.3936947612841529, 0.4016181772280352, 1.0882833191060826, -0.7313412917331904, 0.9226229157836974, 0.9185693947273447, 0.9179679975658458, 0.9200488119734137, 0.8314718331040701, 0.7725651144212713, 0.8635846690227015, 0.9595147561154284, 0.9373570109063846, 0.9424528880660328]|  0.8420782685279846|      0.10941899|[9699, 672, 0, 168]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      64|[0.4010634626841482, 0.4060486201031473, 0.3927227739019699, 0.3966827600938616, 0.3979626808093448, 0.3935423343980048, 0.3949864067984298, 0.3979111433782683, 0.3936947612841529, 0.4016181772280352, 1.0882833191060826, -0.7313412917331904, 0.9226229157836974, 0.9185693947273447, 0.9179679975658458, 0.9200488119734137, 0.8314718331040701, 0.7725651144212713, 0.8635846690227015, 0.9595147561154284, 0.9373570109063846, 0.9424528880660328]|  0.8420782685279846|      0.09847709|[9871, 684, 0, 171]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      65|[0.3773577029121146, 0.382829523406473, 0.3687921796377057, 0.3729077146684956, 0.374196690828538, 0.3697193646711153, 0.370999614527934, 0.3745210466213238, 0.369857601502506, 0.3780869846087622, 1.085795681190417, -0.7923593351769225, 0.9185196923720592, 0.9144526230713357, 0.9137106450436352, 0.9156835711560481, 0.8229335269882951, 0.7610239802197428, 0.856461585401515, 0.9572701067883991, 0.9341773417908873, 0.9393491240832782]|  0.8226642608642578|      0.10941899|[9987, 692, 0, 173]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      66|[0.3773577029121146, 0.382829523406473, 0.3687921796377057, 0.3729077146684956, 0.374196690828538, 0.3697193646711153, 0.370999614527934, 0.3745210466213238, 0.369857601502506, 0.3780869846087622, 1.085795681190417, -0.7923593351769225, 0.9185196923720592, 0.9144526230713357, 0.9137106450436352, 0.9156835711560481, 0.8229335269882951, 0.7610239802197428, 0.856461585401515, 0.9572701067883991, 0.9341773417908873, 0.9393491240832782]|  0.8226642608642578|      0.09847709|[10159, 704, 0, 176]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      67|[0.3773577029121146, 0.382829523406473, 0.3687921796377057, 0.3729077146684956, 0.374196690828538, 0.3697193646711153, 0.370999614527934, 0.3745210466213238, 0.369857601502506, 0.3780869846087622, 1.085795681190417, -0.7923593351769225, 0.9185196923720592, 0.9144526230713357, 0.9137106450436352, 0.9156835711560481, 0.8229335269882951, 0.7610239802197428, 0.856461585401515, 0.9572701067883991, 0.9341773417908873, 0.9393491240832782]|  0.8226642608642578|      0.08862938|[10331, 716, 0, 179]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      68|[0.3560928124608466, 0.3617320063879021, 0.3473421273742013, 0.3517016608133465, 0.352948316371956, 0.3482733158543586, 0.3494423221128534, 0.3532255285485537, 0.3485432333336124, 0.3569371623603423, 1.0828910603116035, -0.8472708079712219, 0.9148630655627126, 0.9105237459879839, 0.9097253669133212, 0.9117980860699628, 0.815050833212507, 0.7505328584648181, 0.8500588211234469, 0.9552569157324526, 0.9312939090255792, 0.9365653844546884]|  0.8055984377861023|      0.09847709|[10447, 724, 0, 181]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      69|[0.3560928124608466, 0.3617320063879021, 0.3473421273742013, 0.3517016608133465, 0.352948316371956, 0.3482733158543586, 0.3494423221128534, 0.3532255285485537, 0.3485432333336124, 0.3569371623603423, 1.0828910603116035, -0.8472708079712219, 0.9148630655627126, 0.9105237459879839, 0.9097253669133212, 0.9117980860699628, 0.815050833212507, 0.7505328584648181, 0.8500588211234469, 0.9552569157324526, 0.9312939090255792, 0.9365653844546884]|  0.8055984377861023|      0.08862938|[10619, 736, 0, 184]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      70|[0.3349291605342891, 0.3408849489341909, 0.3258684463667948, 0.3305606805166093, 0.3317591051866179, 0.3267945767048073, 0.3279896032254671, 0.3319124528036913, 0.3273343860091438, 0.3357275906832239, 1.0796340130919608, -0.9022671517534185, 0.9110844996481677, 0.9066935469833928, 0.9057571927560013, 0.9078209504539292, 0.8070717688999581, 0.7396909507087659, 0.8435190888605667, 0.9531567623669437, 0.9283872078272767, 0.9338081098652767]|  0.7889202237129211|      0.09847709|[10735, 744, 0, 186]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      71|[0.3349291605342891, 0.3408849489341909, 0.3258684463667948, 0.3305606805166093, 0.3317591051866179, 0.3267945767048073, 0.3279896032254671, 0.3319124528036913, 0.3273343860091438, 0.3357275906832239, 1.0796340130919608, -0.9022671517534185, 0.9110844996481677, 0.9066935469833928, 0.9057571927560013, 0.9078209504539292, 0.8070717688999581, 0.7396909507087659, 0.8435190888605667, 0.9531567623669437, 0.9283872078272767, 0.9338081098652767]|  0.7889202237129211|      0.08862938|[10909, 756, 0, 189]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      72|[0.3138040775380632, 0.3197436371906793, 0.3043945602405871, 0.3093183919056423, 0.3107383021219209, 0.305413649323834, 0.3064524375194786, 0.3105798816382517, 0.3060399714559936, 0.3145155332714289, 1.075856737204473, -0.9569873870689816, 0.90716425505051, 0.9027362004657487, 0.9017201057570013, 0.9037334181447199, 0.7988113119891027, 0.7286869751018337, 0.8368197507739152, 0.9511188431668066, 0.9253189190242734, 0.9310058816024535]|  0.7726313471794128|      0.09847709|[11026, 764, 0, 191]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      73|[0.3138040775380632, 0.3197436371906793, 0.3043945602405871, 0.3093183919056423, 0.3107383021219209, 0.305413649323834, 0.3064524375194786, 0.3105798816382517, 0.3060399714559936, 0.3145155332714289, 1.075856737204473, -0.9569873870689816, 0.90716425505051, 0.9027362004657487, 0.9017201057570013, 0.9037334181447199, 0.7988113119891027, 0.7286869751018337, 0.8368197507739152, 0.9511188431668066, 0.9253189190242734, 0.9310058816024535]|  0.7726313471794128|      0.08862938|[11198, 776, 0, 194]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      74|[0.2925826101730334, 0.2988856825918972, 0.2829110320810063, 0.2880986623933869, 0.2896774079612346, 0.2839117499986378, 0.2848792295450139, 0.2894230075640861, 0.2847247350743181, 0.2934031713132514, 1.0718052004731158, -1.0116884532243071, 0.9031945944746453, 0.8986711667056777, 0.8976723245664598, 0.8995901377702415, 0.790406420499116, 0.7175440162623342, 0.8298682663899847, 0.948982316206747, 0.9222366050887557, 0.9283020326222047]|  0.7567344307899475|      0.09847709|[11315, 784, 0, 196]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      75|[0.2925826101730334, 0.2988856825918972, 0.2829110320810063, 0.2880986623933869, 0.2896774079612346, 0.2839117499986378, 0.2848792295450139, 0.2894230075640861, 0.2847247350743181, 0.2934031713132514, 1.0718052004731158, -1.0116884532243071, 0.9031945944746453, 0.8986711667056777, 0.8976723245664598, 0.8995901377702415, 0.790406420499116, 0.7175440162623342, 0.8298682663899847, 0.948982316206747, 0.9222366050887557, 0.9283020326222047]|  0.7567344307899475|      0.08862938|[11488, 796, 0, 199]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      76|[0.2714679275075282, 0.2778087393238114, 0.2614354193380083, 0.266794117945636, 0.2686181078474064, 0.2626411081952953, 0.2632830448374043, 0.2684030912320912, 0.2634687139898169, 0.2726017166673718, 1.0672000714273213, -1.0663266921104948, 0.8992350491439651, 0.894527819710035, 0.8933412121201735, 0.8952907349153382, 0.7819040375841243, 0.705748604120662, 0.8227523609806046, 0.9467958895492241, 0.9190395094990906, 0.9255387728350508]|  0.7412315607070923|      0.09847709|[11604, 804, 0, 201]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      77|[0.2714679275075282, 0.2778087393238114, 0.2614354193380083, 0.266794117945636, 0.2686181078474064, 0.2626411081952953, 0.2632830448374043, 0.2684030912320912, 0.2634687139898169, 0.2726017166673718, 1.0672000714273213, -1.0663266921104948, 0.8992350491439651, 0.894527819710035, 0.8933412121201735, 0.8952907349153382, 0.7819040375841243, 0.705748604120662, 0.8227523609806046, 0.9467958895492241, 0.9190395094990906, 0.9255387728350508]|  0.7412315607070923|      0.08862938|[11777, 816, 0, 204]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      78|[0.2714679275075282, 0.2778087393238114, 0.2614354193380083, 0.266794117945636, 0.2686181078474064, 0.2626411081952953, 0.2632830448374043, 0.2684030912320912, 0.2634687139898169, 0.2726017166673718, 1.0672000714273213, -1.0663266921104948, 0.8992350491439651, 0.894527819710035, 0.8933412121201735, 0.8952907349153382, 0.7819040375841243, 0.705748604120662, 0.8227523609806046, 0.9467958895492241, 0.9190395094990906, 0.9255387728350508]|  0.7412315607070923|      0.07976644|[11949, 828, 0, 207]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      79|[0.252365349913777, 0.2590014014099256, 0.242223774847656, 0.2478060665275565, 0.249731481111285, 0.2433424793197497, 0.2440131652812261, 0.2493055728391185, 0.2445630538905444, 0.2536135276988506, 1.0628441850059713, -1.1154297155302773, 0.8954235772500375, 0.8904870201110275, 0.8893607661565296, 0.8913882443498238, 0.7739690307870908, 0.695127567448308, 0.8162472145601067, 0.9446389923952048, 0.9160021312558567, 0.9228383763639638]|  0.7276173233985901|      0.08862938|[12067, 836, 0, 209]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      80|[0.252365349913777, 0.2590014014099256, 0.242223774847656, 0.2478060665275565, 0.249731481111285, 0.2433424793197497, 0.2440131652812261, 0.2493055728391185, 0.2445630538905444, 0.2536135276988506, 1.0628441850059713, -1.1154297155302773, 0.8954235772500375, 0.8904870201110275, 0.8893607661565296, 0.8913882443498238, 0.7739690307870908, 0.695127567448308, 0.8162472145601067, 0.9446389923952048, 0.9160021312558567, 0.9228383763639638]|  0.7276173233985901|      0.07976644|[12241, 848, 0, 212]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=4
      81|[0.2332880893244342, 0.2400377674958964, 0.2232355100263849, 0.2288486682470809, 0.2306190536429101, 0.2241212231425625, 0.224911057599284, 0.2303111085034733, 0.2257246834906234, 0.2346868477088227, 1.0583749640585463, -1.16459802021584, 0.8915790804591609, 0.8865229249017598, 0.8853769460032983, 0.8874894428854658, 0.765839860487292, 0.6842407272412154, 0.8097498307407177, 0.9426745398580036, 0.9130708990313762, 0.9201316936852839]|  0.7143257856369019|      0.08862938|[12357, 856, 0, 214]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      82|[0.2332880893244342, 0.2400377674958964, 0.2232355100263849, 0.2288486682470809, 0.2306190536429101, 0.2241212231425625, 0.224911057599284, 0.2303111085034733, 0.2257246834906234, 0.2346868477088227, 1.0583749640585463, -1.16459802021584, 0.8915790804591609, 0.8865229249017598, 0.8853769460032983, 0.8874894428854658, 0.765839860487292, 0.6842407272412154, 0.8097498307407177, 0.9426745398580036, 0.9130708990313762, 0.9201316936852839]|  0.7143257856369019|      0.07976644|[12530, 868, 0, 217]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      83|[0.2142034187046788, 0.2213726314265141, 0.2036596904027555, 0.2099735227226971, 0.2118482048036371, 0.2051087677843335, 0.2057179041129149, 0.2115125217722132, 0.2069215067180622, 0.2158872321697854, 1.0532194447004415, -1.213723070622331, 0.8877416351274595, 0.8823682580856593, 0.8814050103049174, 0.8832255544572064, 0.7576534798062613, 0.6730293483348417, 0.8029807507609438, 0.9406058042904182, 0.9098214333834557, 0.9171555854398646]|  0.7013576030731201|      0.08862938|[12646, 876, 0, 219]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      84|[0.2142034187046788, 0.2213726314265141, 0.2036596904027555, 0.2099735227226971, 0.2118482048036371, 0.2051087677843335, 0.2057179041129149, 0.2115125217722132, 0.2069215067180622, 0.2158872321697854, 1.0532194447004415, -1.213723070622331, 0.8877416351274595, 0.8823682580856593, 0.8814050103049174, 0.8832255544572064, 0.7576534798062613, 0.6730293483348417, 0.8029807507609438, 0.9406058042904182, 0.9098214333834557, 0.9171555854398646]|  0.7013576030731201|      0.07976644|[12819, 888, 0, 222]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
