k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      67|[0.0945259757342468, 0.0149867563396761, -8.108026233721175]                    |  1.0085643529891968|      0.03125000|[370, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      68|[0.0945259757342468, 0.0149867563396761, -8.108026233721175]                    |  1.0085643529891968|      0.01562500|[376, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.0805070063527667, 0.0099942216988996, -8.112788976664245]                    |  1.0059839487075806|      0.03125000|[381, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      70|[0.0805070063527667, 0.0099942216988996, -8.112788976664245]                    |  1.0059839487075806|      0.01562500|[386, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      71|[0.0805070063527667, 0.0099942216988996, -8.112788976664245]                    |  1.0059839487075806|      0.00781250|[392, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      72|[0.0727934592568322, 0.0100455363282912, -8.11155054448701]                     |  1.0048018693923950|      0.01562500|[397, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[0.0727934592568322, 0.0100455363282912, -8.11155054448701]                     |  1.0048018693923950|      0.00781250|[403, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      74|[0.0651838105923824, 0.0097875074070497, -8.113300351484778]                    |  1.0037475824356079|      0.01562500|[409, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[0.0651838105923824, 0.0097875074070497, -8.113300351484778]                    |  1.0037475824356079|      0.00781250|[415, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      76|[0.0589641457732396, 0.0145134903288476, -8.11342688689639]                     |  1.0030946731567383|      0.01562500|[421, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[0.0589641457732396, 0.0145134903288476, -8.11342688689639]                     |  1.0030946731567383|      0.00781250|[426, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      78|[0.0512995433671581, 0.0130181053990346, -8.113656778432508]                    |  1.0022068023681641|      0.01562500|[431, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      79|[0.0512995433671581, 0.0130181053990346, -8.113656778432508]                    |  1.0022068023681641|      0.00781250|[436, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      80|[0.0435932799685362, 0.0124483926710677, -8.112506088166342]                    |  1.0014597177505493|      0.01562500|[442, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
