k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      39|[0.6865084771876431, 0.6878372817041251, 0.681772071101475, 0.6828764420228783, 0.6836241601449836, 0.6822799443771186, 0.6839616027553392, 0.6831646615412298, 0.6816471628588572, 0.6849719566669467, 1.0815714098374924, 0.0425949478748893, 0.9639214986012028, 0.9621531199814785, 0.9623105933637304, 0.9633102030889846, 0.9220919743522333, 0.892197180118136, 0.9370035731109841, 0.9813576452762375, 0.9714428265856132, 0.9740661117427784]|  1.1193944215774536|      0.13508517|[5366, 2176, 0, 136]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      40|[0.6865084771876431, 0.6878372817041251, 0.681772071101475, 0.6828764420228783, 0.6836241601449836, 0.6822799443771186, 0.6839616027553392, 0.6831646615412298, 0.6816471628588572, 0.6849719566669467, 1.0815714098374924, 0.0425949478748893, 0.9639214986012028, 0.9621531199814785, 0.9623105933637304, 0.9633102030889846, 0.9220919743522333, 0.892197180118136, 0.9370035731109841, 0.9813576452762375, 0.9714428265856132, 0.9740661117427784]|  1.1193944215774536|      0.12157665|[5521, 2240, 0, 140]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 85 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=16
      41|[0.6585294250879168, 0.6600546835163819, 0.6533927686691221, 0.6544348082102627, 0.6553440965247168, 0.653967458201342, 0.6555796419565261, 0.6548853934239518, 0.6533652803124884, 0.6568049998713764, 1.085352169104426, -0.0380365750822703, 0.9603282323586502, 0.9582831486666501, 0.9581946198875384, 0.9594438228180803, 0.9141695640460848, 0.8814386205654897, 0.9307042198712083, 0.9794973018854258, 0.9686071699819165, 0.9714569555667872]|  1.0880538225173950|      0.13508517|[5603, 2272, 0, 142]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      42|[0.6585294250879168, 0.6600546835163819, 0.6533927686691221, 0.6544348082102627, 0.6553440965247168, 0.653967458201342, 0.6555796419565261, 0.6548853934239518, 0.6533652803124884, 0.6568049998713764, 1.085352169104426, -0.0380365750822703, 0.9603282323586502, 0.9582831486666501, 0.9581946198875384, 0.9594438228180803, 0.9141695640460848, 0.8814386205654897, 0.9307042198712083, 0.9794973018854258, 0.9686071699819165, 0.9714569555667872]|  1.0880538225173950|      0.12157665|[5765, 2336, 0, 146]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 86 points | trying quadratic partial model with 124 points | exploitation failed, decreasing delta | actual_k=16
      43|[0.6304978024274425, 0.6321720990768115, 0.6248099228774937, 0.6259766404064041, 0.626915048585972, 0.6254398301057329, 0.6270127878251475, 0.6263686013938745, 0.6248085627202975, 0.6285267040905498, 1.088136861071218, -0.1180792316444502, 0.9565022427573142, 0.954256221775102, 0.9543070849367712, 0.9556263432640771, 0.906090285627796, 0.8704518773964733, 0.9241570527060846, 0.9777565507284337, 0.9654295599150773, 0.9687604307615558]|  1.0574980974197388|      0.13508517|[5846, 2368, 0, 148]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      44|[0.6304978024274425, 0.6321720990768115, 0.6248099228774937, 0.6259766404064041, 0.626915048585972, 0.6254398301057329, 0.6270127878251475, 0.6263686013938745, 0.6248085627202975, 0.6285267040905498, 1.088136861071218, -0.1180792316444502, 0.9565022427573142, 0.954256221775102, 0.9543070849367712, 0.9556263432640771, 0.906090285627796, 0.8704518773964733, 0.9241570527060846, 0.9777565507284337, 0.9654295599150773, 0.9687604307615558]|  1.0574980974197388|      0.12157665|[6000, 2432, 0, 152]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 86 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=16
      45|[0.6014638608025563, 0.6045172627961303, 0.5961956562956626, 0.5976238247321122, 0.5980212037516237, 0.5969526128389117, 0.5987995880665326, 0.5969842040205442, 0.5959627733798535, 0.5996794412638989, 1.0907925657150026, -0.1971091596344679, 0.9530574586513985, 0.9499174321614585, 0.9510665636844682, 0.9517133787508714, 0.8976210065881414, 0.8597808984818542, 0.9166229927520377, 0.9758218593105661, 0.961669766494808, 0.9654601895109912]|  1.0277304649353027|      0.13508517|[6083, 2464, 0, 154]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      46|[0.6014638608025563, 0.6045172627961303, 0.5961956562956626, 0.5976238247321122, 0.5980212037516237, 0.5969526128389117, 0.5987995880665326, 0.5969842040205442, 0.5959627733798535, 0.5996794412638989, 1.0907925657150026, -0.1971091596344679, 0.9530574586513985, 0.9499174321614585, 0.9510665636844682, 0.9517133787508714, 0.8976210065881414, 0.8597808984818542, 0.9166229927520377, 0.9758218593105661, 0.961669766494808, 0.9654601895109912]|  1.0277304649353027|      0.12157665|[6239, 2528, 0, 158]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 84 points | trying quadratic partial model with 121 points | exploitation failed, decreasing delta | actual_k=16
      47|[0.6014638608025563, 0.6045172627961303, 0.5961956562956626, 0.5976238247321122, 0.5980212037516237, 0.5969526128389117, 0.5987995880665326, 0.5969842040205442, 0.5959627733798535, 0.5996794412638989, 1.0907925657150026, -0.1971091596344679, 0.9530574586513985, 0.9499174321614585, 0.9510665636844682, 0.9517133787508714, 0.8976210065881414, 0.8597808984818542, 0.9166229927520377, 0.9758218593105661, 0.961669766494808, 0.9654601895109912]|  1.0277304649353027|      0.10941899|[6395, 2592, 0, 162]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 87 points | trying quadratic partial model with 124 points | exploitation failed, decreasing delta | actual_k=16
      48|[0.5756428373468081, 0.5791175943321527, 0.5700433313092033, 0.5717931514128708, 0.5723183327239465, 0.5709660934483751, 0.5727059820439279, 0.571176247714744, 0.5699211820707537, 0.5741238014012263, 1.092240755602692, -0.267873554587351, 0.9494090952286723, 0.946173244606512, 0.9473226344441531, 0.9478850501795655, 0.8899583781366242, 0.8493268359882586, 0.9101470757583042, 0.9738787501776948, 0.9587736759769191, 0.9627112141584476]|  1.0015981197357178|      0.12157665|[6481, 2624, 0, 164]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
