k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      47|[-0.0435637185079393, -0.0326062978058478, -0.0533610203297582, -0.0449966620810356, -0.0408740337122859, -0.0547758777063199, -0.058086014792357, -0.0432653505019073, -0.0445005745736626, -0.0358701812995147, 0.9557549533387825, -1.90837546393625, 0.821702089729504, 0.816963578023387, 0.8134486549976516, 0.812733153359085, 0.6176883662511846, 0.4895274637781146, 0.6911903529014622, 0.9050412898604153, 0.8608245782507773, 0.8737875834030029]|  0.5540556311607361|      0.12500000|[6882, 476, 0, 119]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      48|[-0.0710795891028209, -0.0596814982563008, -0.0809053121659312, -0.072097411753812, -0.0675749130874757, -0.0825175339376065, -0.0858034354028635, -0.0702339799412338, -0.0716414175185271, -0.0633052734235463, 0.9396396367042037, -1.9865588247071138, 0.8126827984159343, 0.8075093910343575, 0.803844537326578, 0.8028774697449448, 0.5982326290427312, 0.4635152309525833, 0.6750160933366236, 0.899964499283906, 0.8539337884907419, 0.8665908011000313]|  0.5412594676017761|      0.25000000|[6998, 484, 0, 121]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      49|[-0.0710795891028209, -0.0596814982563008, -0.0809053121659312, -0.072097411753812, -0.0675749130874757, -0.0825175339376065, -0.0858034354028635, -0.0702339799412338, -0.0716414175185271, -0.0633052734235463, 0.9396396367042037, -1.9865588247071138, 0.8126827984159343, 0.8075093910343575, 0.803844537326578, 0.8028774697449448, 0.5982326290427312, 0.4635152309525833, 0.6750160933366236, 0.899964499283906, 0.8539337884907419, 0.8665908011000313]|  0.5412594676017761|      0.12500000|[7172, 496, 0, 124]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      50|[-0.0983468452071787, -0.0855118832134209, -0.1088169816437957, -0.0989797514303405, -0.0932582181705844, -0.1097883378273691, -0.1128863559947452, -0.096566258195443, -0.0979771103406181, -0.0900549082110504, 0.9227767874234257, -2.064896113680207, 0.8023283120668643, 0.7973335592443577, 0.793530363221463, 0.7917126808901153, 0.5777845093093817, 0.4359683246206324, 0.6580586777206716, 0.8947831852503665, 0.8458569907980191, 0.8592575894717293]|  0.5291571617126465|      0.25000000|[7289, 504, 0, 126]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      51|[-0.0983468452071787, -0.0855118832134209, -0.1088169816437957, -0.0989797514303405, -0.0932582181705844, -0.1097883378273691, -0.1128863559947452, -0.096566258195443, -0.0979771103406181, -0.0900549082110504, 0.9227767874234257, -2.064896113680207, 0.8023283120668643, 0.7973335592443577, 0.793530363221463, 0.7917126808901153, 0.5777845093093817, 0.4359683246206324, 0.6580586777206716, 0.8947831852503665, 0.8458569907980191, 0.8592575894717293]|  0.5291571617126465|      0.12500000|[7463, 516, 0, 129]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      52|[-0.1242805865992402, -0.1117299255828654, -0.1360708810898447, -0.1255015681579449, -0.1186854123726915, -0.1366833905263809, -0.1397261893037882, -0.1219555391967249, -0.1244106498629497, -0.117038111502658, 0.9041848986352337, -2.1428834986933594, 0.7929240328042675, 0.7867815414286005, 0.7832729421879934, 0.780663255396044, 0.5556945180997999, 0.4067557122901743, 0.6397837969322303, 0.8900036493892666, 0.8378228024566043, 0.8529582638100761]|  0.5177248120307922|      0.25000000|[7581, 524, 0, 131]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      53|[-0.1242805865992402, -0.1117299255828654, -0.1360708810898447, -0.1255015681579449, -0.1186854123726915, -0.1366833905263809, -0.1397261893037882, -0.1219555391967249, -0.1244106498629497, -0.117038111502658, 0.9041848986352337, -2.1428834986933594, 0.7929240328042675, 0.7867815414286005, 0.7832729421879934, 0.780663255396044, 0.5556945180997999, 0.4067557122901743, 0.6397837969322303, 0.8900036493892666, 0.8378228024566043, 0.8529582638100761]|  0.5177248120307922|      0.12500000|[7754, 536, 0, 134]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      54|[-0.1499585621980808, -0.1374647386421897, -0.1618318238757655, -0.1505621433737035, -0.1431700338418404, -0.1631227836130904, -0.1667189393702597, -0.1483847591149045, -0.1496199945426806, -0.1417978814174563, 0.8849627874299077, -2.2217298089241924, 0.7811245242890279, 0.7761310821606299, 0.7723836942412604, 0.7688670635311907, 0.5324451503351262, 0.3769430421538895, 0.6211596129225951, 0.8846794930162599, 0.8294358249989738, 0.8448341470721287]|  0.5069342851638794|      0.25000000|[7870, 544, 0, 136]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      55|[-0.1499585621980808, -0.1374647386421897, -0.1618318238757655, -0.1505621433737035, -0.1431700338418404, -0.1631227836130904, -0.1667189393702597, -0.1483847591149045, -0.1496199945426806, -0.1417978814174563, 0.8849627874299077, -2.2217298089241924, 0.7811245242890279, 0.7761310821606299, 0.7723836942412604, 0.7688670635311907, 0.5324451503351262, 0.3769430421538895, 0.6211596129225951, 0.8846794930162599, 0.8294358249989738, 0.8448341470721287]|  0.5069342851638794|      0.12500000|[8042, 556, 0, 139]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      56|[-0.1756701642737158, -0.1620154443933611, -0.1877035648550225, -0.1747847460396165, -0.1680577419467668, -0.1902396365644437, -0.1928517978504474, -0.1735004591577677, -0.1736507486558861, -0.1663516396091221, 0.8648125142643232, -2.3001134052714027, 0.7712026801111929, 0.7650063239719672, 0.760817046338003, 0.7554713840600884, 0.5073001656952737, 0.3461855530964503, 0.6011729785906469, 0.8781118194670398, 0.8205594533734519, 0.8363994230188081]|  0.4967605769634247|      0.25000000|[8158, 564, 0, 141]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      57|[-0.1756701642737158, -0.1620154443933611, -0.1877035648550225, -0.1747847460396165, -0.1680577419467668, -0.1902396365644437, -0.1928517978504474, -0.1735004591577677, -0.1736507486558861, -0.1663516396091221, 0.8648125142643232, -2.3001134052714027, 0.7712026801111929, 0.7650063239719672, 0.760817046338003, 0.7554713840600884, 0.5073001656952737, 0.3461855530964503, 0.6011729785906469, 0.8781118194670398, 0.8205594533734519, 0.8363994230188081]|  0.4967605769634247|      0.12500000|[8331, 576, 0, 144]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      58|[-0.1756701642737158, -0.1620154443933611, -0.1877035648550225, -0.1747847460396165, -0.1680577419467668, -0.1902396365644437, -0.1928517978504474, -0.1735004591577677, -0.1736507486558861, -0.1663516396091221, 0.8648125142643232, -2.3001134052714027, 0.7712026801111929, 0.7650063239719672, 0.760817046338003, 0.7554713840600884, 0.5073001656952737, 0.3461855530964503, 0.6011729785906469, 0.8781118194670398, 0.8205594533734519, 0.8363994230188081]|  0.4967605769634247|      0.06250000|[8504, 588, 0, 147]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      59|[-0.1885374698743498, -0.1745176708752994, -0.2003491097707141, -0.1866499293809595, -0.179963379663209, -0.2027705267839869, -0.2057680965321969, -0.1858261656497507, -0.185615026212449, -0.1785701259086568, 0.8547365451983324, -2.3391633287925386, 0.7654019358133053, 0.7586517198803868, 0.7547095115533904, 0.7486026640744357, 0.4945855979379255, 0.3299329977615684, 0.5906014996443897, 0.8747992585198038, 0.8159090684117153, 0.8320826970306434]|  0.4918948709964752|      0.12500000|[8620, 596, 0, 149]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      60|[-0.1885374698743498, -0.1745176708752994, -0.2003491097707141, -0.1866499293809595, -0.179963379663209, -0.2027705267839869, -0.2057680965321969, -0.1858261656497507, -0.185615026212449, -0.1785701259086568, 0.8547365451983324, -2.3391633287925386, 0.7654019358133053, 0.7586517198803868, 0.7547095115533904, 0.7486026640744357, 0.4945855979379255, 0.3299329977615684, 0.5906014996443897, 0.8747992585198038, 0.8159090684117153, 0.8320826970306434]|  0.4918948709964752|      0.06250000|[8792, 608, 0, 152]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      61|[-0.2006789019338921, -0.186440316319268, -0.2130109390396, -0.1986049511145853, -0.1917293316865771, -0.2151902098385566, -0.2185811134755379, -0.197840347894382, -0.1974903730983413, -0.1907129694164134, 0.8439829436625582, -2.378250832410683, 0.7590856898998768, 0.7523069147761103, 0.7483717960862633, 0.7418247665162291, 0.4814425945149201, 0.3134903016451056, 0.5796801038843742, 0.8716860606711583, 0.8112084773851019, 0.8276247967587766]|  0.4871716797351837|      0.12500000|[8909, 616, 0, 154]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      62|[-0.2006789019338921, -0.186440316319268, -0.2130109390396, -0.1986049511145853, -0.1917293316865771, -0.2151902098385566, -0.2185811134755379, -0.197840347894382, -0.1974903730983413, -0.1907129694164134, 0.8439829436625582, -2.378250832410683, 0.7590856898998768, 0.7523069147761103, 0.7483717960862633, 0.7418247665162291, 0.4814425945149201, 0.3134903016451056, 0.5796801038843742, 0.8716860606711583, 0.8112084773851019, 0.8276247967587766]|  0.4871716797351837|      0.06250000|[9082, 628, 0, 157]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      63|[-0.2127455773294852, -0.1979242673108131, -0.2254223816476781, -0.2103516085910183, -0.2032536171493426, -0.2273433692225192, -0.2310880224371195, -0.209792667857859, -0.2092964967962173, -0.2026623791249025, 0.8329771701541998, -2.4172979459270683, 0.7526380218697595, 0.7457492963699753, 0.7415455940828941, 0.7347808481348321, 0.467875293983032, 0.296620194273834, 0.5684961241354649, 0.8683797098373985, 0.8065409493248566, 0.8229653801588365]|  0.4825878739356995|      0.12500000|[9198, 636, 0, 159]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      64|[-0.2127455773294852, -0.1979242673108131, -0.2254223816476781, -0.2103516085910183, -0.2032536171493426, -0.2273433692225192, -0.2310880224371195, -0.209792667857859, -0.2092964967962173, -0.2026623791249025, 0.8329771701541998, -2.4172979459270683, 0.7526380218697595, 0.7457492963699753, 0.7415455940828941, 0.7347808481348321, 0.467875293983032, 0.296620194273834, 0.5684961241354649, 0.8683797098373985, 0.8065409493248566, 0.8229653801588365]|  0.4825878739356995|      0.06250000|[9370, 648, 0, 162]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      65|[-0.2245420085260493, -0.2094283103577312, -0.237758830724014, -0.2218717640808851, -0.2145489214834864, -0.2393375148883581, -0.2436814501914041, -0.2213798528334308, -0.2208051127121186, -0.2143628868381189, 0.8219330141973246, -2.4564714664106604, 0.7459347893121386, 0.7391373185239015, 0.7347463583699382, 0.7276192122825518, 0.4540603619360496, 0.2795758972915948, 0.5569121175661199, 0.8649557851858284, 0.8016129073870105, 0.818282256834022]|  0.4781399071216583|      0.12500000|[9486, 656, 0, 164]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      66|[-0.2245420085260493, -0.2094283103577312, -0.237758830724014, -0.2218717640808851, -0.2145489214834864, -0.2393375148883581, -0.2436814501914041, -0.2213798528334308, -0.2208051127121186, -0.2143628868381189, 0.8219330141973246, -2.4564714664106604, 0.7459347893121386, 0.7391373185239015, 0.7347463583699382, 0.7276192122825518, 0.4540603619360496, 0.2795758972915948, 0.5569121175661199, 0.8649557851858284, 0.8016129073870105, 0.818282256834022]|  0.4781399071216583|      0.06250000|[9658, 668, 0, 167]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      67|[-0.2362760482649684, -0.2210018758327917, -0.2496891594722987, -0.2332176917871913, -0.2257216391332042, -0.2510114103994132, -0.2559963725344837, -0.2327502824657319, -0.2321764279104016, -0.2259072493294997, 0.8105626458734213, -2.495461425183451, 0.739165778163837, 0.7323893614382273, 0.727893783005067, 0.7202124553174227, 0.4397956174665966, 0.2620573358385712, 0.5449072879669395, 0.8614986443912173, 0.7964757314569428, 0.8134445070971192]|  0.4738243818283081|      0.12500000|[9774, 676, 0, 169]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      68|[-0.2362760482649684, -0.2210018758327917, -0.2496891594722987, -0.2332176917871913, -0.2257216391332042, -0.2510114103994132, -0.2559963725344837, -0.2327502824657319, -0.2321764279104016, -0.2259072493294997, 0.8105626458734213, -2.495461425183451, 0.739165778163837, 0.7323893614382273, 0.727893783005067, 0.7202124553174227, 0.4397956174665966, 0.2620573358385712, 0.5449072879669395, 0.8614986443912173, 0.7964757314569428, 0.8134445070971192]|  0.4738243818283081|      0.06250000|[9946, 688, 0, 172]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      69|[-0.2477555751430901, -0.2320740882896802, -0.2616620807328041, -0.2443124361483676, -0.2368830560454505, -0.262568990668815, -0.2682015217244603, -0.2437205625080807, -0.243149250261998, -0.2374184833638376, 0.7989039253044254, -2.534432481363717, 0.7322939613475774, 0.7253763732394977, 0.7204863816484489, 0.712753021401706, 0.4252114240949807, 0.2441720061286307, 0.5329152985848249, 0.8576846193185617, 0.7913089584405133, 0.808361793328425]|  0.4696379005908966|      0.12500000|[10064, 696, 0, 174]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      70|[-0.2477555751430901, -0.2320740882896802, -0.2616620807328041, -0.2443124361483676, -0.2368830560454505, -0.262568990668815, -0.2682015217244603, -0.2437205625080807, -0.243149250261998, -0.2374184833638376, 0.7989039253044254, -2.534432481363717, 0.7322939613475774, 0.7253763732394977, 0.7204863816484489, 0.712753021401706, 0.4252114240949807, 0.2441720061286307, 0.5329152985848249, 0.8576846193185617, 0.7913089584405133, 0.808361793328425]|  0.4696379005908966|      0.06250000|[10237, 708, 0, 177]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      71|[-0.259128664729672, -0.2428832559230086, -0.2732521078552269, -0.2552744500123842, -0.2478381821156916, -0.2740943048855006, -0.2804977152352966, -0.2549395453399408, -0.2542700880762536, -0.248633005311084, 0.7868320596351618, -2.573046066796283, 0.7249018127097446, 0.7179549350830565, 0.7130131499237695, 0.7049538671563004, 0.4106166685029773, 0.2261912483662477, 0.5202650053029282, 0.8541934456318786, 0.7862382127133973, 0.8029914704857625]|  0.4655772447586060|      0.12500000|[10353, 716, 0, 179]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      72|[-0.259128664729672, -0.2428832559230086, -0.2732521078552269, -0.2552744500123842, -0.2478381821156916, -0.2740943048855006, -0.2804977152352966, -0.2549395453399408, -0.2542700880762536, -0.248633005311084, 0.7868320596351618, -2.573046066796283, 0.7249018127097446, 0.7179549350830565, 0.7130131499237695, 0.7049538671563004, 0.4106166685029773, 0.2261912483662477, 0.5202650053029282, 0.8541934456318786, 0.7862382127133973, 0.8029914704857625]|  0.4655772447586060|      0.06250000|[10525, 728, 0, 182]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      73|[-0.2702269887623971, -0.2536670534088894, -0.284842258597687, -0.2662526189989993, -0.2585034496986927, -0.2854696945568373, -0.2924462354069721, -0.2657365385325095, -0.264872215055017, -0.2594354383711608, 0.7748795541637665, -2.6118695983106814, 0.7174068010005068, 0.7106751033927916, 0.7052512090594384, 0.6970440029041157, 0.3955885297551867, 0.2079627938285123, 0.5073856940504301, 0.8503532123085836, 0.7805216789384628, 0.797813660249357]|  0.4616386592388153|      0.12500000|[10641, 736, 0, 184]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      74|[-0.2702269887623971, -0.2536670534088894, -0.284842258597687, -0.2662526189989993, -0.2585034496986927, -0.2854696945568373, -0.2924462354069721, -0.2657365385325095, -0.264872215055017, -0.2594354383711608, 0.7748795541637665, -2.6118695983106814, 0.7174068010005068, 0.7106751033927916, 0.7052512090594384, 0.6970440029041157, 0.3955885297551867, 0.2079627938285123, 0.5073856940504301, 0.8503532123085836, 0.7805216789384628, 0.797813660249357]|  0.4616386592388153|      0.06250000|[10813, 748, 0, 187]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      75|[-0.2812560540512837, -0.2643403815391381, -0.2959957055054173, -0.276569332871362, -0.2685434276936659, -0.2964422644726221, -0.3044741692881466, -0.2763231250913004, -0.275400217046104, -0.2703338703124864, 0.7630278915200969, -2.650636817341046, 0.7097877031923725, 0.7030082110649781, 0.6972380235225742, 0.6887360789265886, 0.3801862406016969, 0.1891825852719381, 0.49413508887915, 0.8462690448039859, 0.7750945401105892, 0.792595196189847]|  0.4578193426132202|      0.12500000|[10930, 756, 0, 189]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      76|[-0.2812560540512837, -0.2643403815391381, -0.2959957055054173, -0.276569332871362, -0.2685434276936659, -0.2964422644726221, -0.3044741692881466, -0.2763231250913004, -0.275400217046104, -0.2703338703124864, 0.7630278915200969, -2.650636817341046, 0.7097877031923725, 0.7030082110649781, 0.6972380235225742, 0.6887360789265886, 0.3801862406016969, 0.1891825852719381, 0.49413508887915, 0.8462690448039859, 0.7750945401105892, 0.792595196189847]|  0.4578193426132202|      0.06250000|[11103, 768, 0, 192]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      77|[-0.292165342764647, -0.2747141575283933, -0.3070691818477748, -0.2869106346728043, -0.2785060797776347, -0.3074699188176936, -0.3160225354850701, -0.2866299289162921, -0.2856209529612447, -0.2807043851369849, 0.750518846697358, -2.6894120138211606, 0.7018601681277382, 0.6952479378600313, 0.6891353413088894, 0.68029383571906, 0.3645147536398378, 0.1704089301940505, 0.4808826944756755, 0.8421807283735857, 0.7691963619743654, 0.7869005375345277]|  0.4541155993938446|      0.12500000|[11219, 776, 0, 194]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      78|[-0.292165342764647, -0.2747141575283933, -0.3070691818477748, -0.2869106346728043, -0.2785060797776347, -0.3074699188176936, -0.3160225354850701, -0.2866299289162921, -0.2856209529612447, -0.2807043851369849, 0.750518846697358, -2.6894120138211606, 0.7018601681277382, 0.6952479378600313, 0.6891353413088894, 0.68029383571906, 0.3645147536398378, 0.1704089301940505, 0.4808826944756755, 0.8421807283735857, 0.7691963619743654, 0.7869005375345277]|  0.4541155993938446|      0.06250000|[11393, 788, 0, 197]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      79|[-0.302652682720005, -0.284886674561275, -0.31795626752103, -0.297039215697429, -0.2883464307422202, -0.3182081393774302, -0.3274273369831998, -0.2967528161330441, -0.2956698217617238, -0.2909183137315233, 0.7378429642719212, -2.7280452804808464, 0.693679803985824, 0.687237450627052, 0.6809325111306139, 0.6714680206846264, 0.3484751202565187, 0.1514630243524784, 0.4671110803959372, 0.8380660351654912, 0.7632149803536017, 0.7811019752531222]|  0.4505245387554169|      0.12500000|[11510, 796, 0, 199]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      80|[-0.302652682720005, -0.284886674561275, -0.31795626752103, -0.297039215697429, -0.2883464307422202, -0.3182081393774302, -0.3274273369831998, -0.2967528161330441, -0.2956698217617238, -0.2909183137315233, 0.7378429642719212, -2.7280452804808464, 0.693679803985824, 0.687237450627052, 0.6809325111306139, 0.6714680206846264, 0.3484751202565187, 0.1514630243524784, 0.4671110803959372, 0.8380660351654912, 0.7632149803536017, 0.7811019752531222]|  0.4505245387554169|      0.06250000|[11682, 808, 0, 202]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      81|[-0.3129858842969384, -0.2947983584316776, -0.3290336144695677, -0.3067241453588145, -0.2979591313171011, -0.328773260676698, -0.3385215281302142, -0.3066649720034785, -0.3050849170012735, -0.3005484583643436, 0.7246858229091819, -2.766710508855685, 0.6852762387476672, 0.6791443548450566, 0.6728208105606082, 0.6626377092511605, 0.3319069423044395, 0.1324370641105471, 0.4527866829545359, 0.8338978690320145, 0.7571653819288874, 0.7752425529050613]|  0.4470435082912445|      0.12500000|[11799, 816, 0, 204]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      82|[-0.3129858842969384, -0.2947983584316776, -0.3290336144695677, -0.3067241453588145, -0.2979591313171011, -0.328773260676698, -0.3385215281302142, -0.3066649720034785, -0.3050849170012735, -0.3005484583643436, 0.7246858229091819, -2.766710508855685, 0.6852762387476672, 0.6791443548450566, 0.6728208105606082, 0.6626377092511605, 0.3319069423044395, 0.1324370641105471, 0.4527866829545359, 0.8338978690320145, 0.7571653819288874, 0.7752425529050613]|  0.4470435082912445|      0.06250000|[11971, 828, 0, 207]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      83|[-0.3231687625706243, -0.304478856800573, -0.3394792272823453, -0.3162432770665898, -0.3072077173276946, -0.3392220546281771, -0.3494264407514078, -0.3164916585900076, -0.3144067467055069, -0.3104115356096707, 0.7116560183971251, -2.8050389674441156, 0.6765352979942314, 0.6702124604811861, 0.6639175553744092, 0.6534313294693611, 0.3153342472051227, 0.1132025911207818, 0.4382544175049499, 0.8293138124706125, 0.7506347484434869, 0.7692236203804387]|  0.4436687231063843|      0.12500000|[12089, 836, 0, 209]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      84|[-0.3231687625706243, -0.304478856800573, -0.3394792272823453, -0.3162432770665898, -0.3072077173276946, -0.3392220546281771, -0.3494264407514078, -0.3164916585900076, -0.3144067467055069, -0.3104115356096707, 0.7116560183971251, -2.8050389674441156, 0.6765352979942314, 0.6702124604811861, 0.6639175553744092, 0.6534313294693611, 0.3153342472051227, 0.1132025911207818, 0.4382544175049499, 0.8293138124706125, 0.7506347484434869, 0.7692236203804387]|  0.4436687231063843|      0.06250000|[12263, 848, 0, 212]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=4
      85|[-0.3331347019793376, -0.3142308391720007, -0.3495088657494352, -0.3256588521831723, -0.3166751690851358, -0.3494610584146229, -0.3599754377077363, -0.3260699286119665, -0.3235864908078283, -0.3200263609840095, 0.6986843250859299, -2.8434497693286596, 0.6676218346891277, 0.6613432406204497, 0.6549480276076435, 0.644004621208501, 0.2984284509108344, 0.0937451430993651, 0.4236491604432558, 0.8249613630379644, 0.7441727000956168, 0.7629883288801358]|  0.4403980970382690|      0.12500000|[12379, 856, 0, 214]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      86|[-0.3331347019793376, -0.3142308391720007, -0.3495088657494352, -0.3256588521831723, -0.3166751690851358, -0.3494610584146229, -0.3599754377077363, -0.3260699286119665, -0.3235864908078283, -0.3200263609840095, 0.6986843250859299, -2.8434497693286596, 0.6676218346891277, 0.6613432406204497, 0.6549480276076435, 0.644004621208501, 0.2984284509108344, 0.0937451430993651, 0.4236491604432558, 0.8249613630379644, 0.7441727000956168, 0.7629883288801358]|  0.4403980970382690|      0.06250000|[12552, 868, 0, 217]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      87|[-0.3429066710336465, -0.3233769292536889, -0.3603142293054347, -0.3347224010679192, -0.3254810646542647, -0.359123425198736, -0.3704691929424846, -0.3351659036438793, -0.332524585349505, -0.3292009708546916, 0.6850182005984716, -2.881591862444942, 0.6586536416862481, 0.6520947207845817, 0.6459767126092659, 0.6339420300855432, 0.281547099171193, 0.0740600390619293, 0.4086677183636087, 0.8204873233325313, 0.737135535863679, 0.7563078851995654]|  0.4372287392616272|      0.12500000|[12668, 876, 0, 219]                                                       |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      88|[-0.3429066710336465, -0.3233769292536889, -0.3603142293054347, -0.3347224010679192, -0.3254810646542647, -0.359123425198736, -0.3704691929424846, -0.3351659036438793, -0.332524585349505, -0.3292009708546916, 0.6850182005984716, -2.881591862444942, 0.6586536416862481, 0.6520947207845817, 0.6459767126092659, 0.6339420300855432, 0.281547099171193, 0.0740600390619293, 0.4086677183636087, 0.8204873233325313, 0.737135535863679, 0.7563078851995654]|  0.4372287392616272|      0.06250000|[12841, 888, 0, 222]                                                       |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
