k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      32|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1680, 256, 0, 64]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      33|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1731, 264, 0, 66]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      34|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1782, 272, 0, 68]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      35|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1833, 280, 0, 70]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      36|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1884, 288, 0, 72]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      37|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1935, 296, 0, 74]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      38|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 304, 0, 76]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      39|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 312, 0, 78]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      40|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 320, 0, 80]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      41|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1949, 328, 0, 82]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
