k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.2, 1.0]                                                                     |26656.1334557436784962|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.20000000|[7, 2, 0, 2]                                                               |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-1.2, 1.0]                                                                     |26656.1334557436784962|      0.04000000|[15, 5, 0, 5]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.20000000|[21, 7, 0, 7]                                                              |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
       4|[-1.1608073253667364, 0.9920041101126181]                                       |18517.6992187500000000|      0.04000000|[28, 10, 0, 10]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.0577269937534615, 1.2195804589986683]                                        |  0.0003031535306945|      0.00800000|[345, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      56|[0.0577269937534615, 1.2195804589986683]                                        |  0.0003031535306945|      0.00160000|[352, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.0561770569699556, 1.2191833494833761]                                        |  0.0002852156758308|      0.00800000|[357, 134, 0, 134]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      58|[0.0561770569699556, 1.2191833494833761]                                        |  0.0002852156758308|      0.00160000|[363, 136, 0, 136]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      59|[0.0546216087083803, 1.2188084085472777]                                        |  0.0002678817545529|      0.00800000|[369, 138, 0, 138]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      60|[0.0546216087083803, 1.2188084085472777]                                        |  0.0002678817545529|      0.00160000|[375, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.0530636099325697, 1.2184442110533649]                                        |  0.0002511478669476|      0.00800000|[380, 142, 0, 142]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      62|[0.0530636099325697, 1.2184442110533649]                                        |  0.0002511478669476|      0.00160000|[388, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.0515068564772057, 1.2180747267110545]                                        |  0.0002350106369704|      0.00800000|[393, 147, 0, 147]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      64|[0.0515068564772057, 1.2180747267110545]                                        |  0.0002350106369704|      0.00160000|[399, 149, 0, 149]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      65|[0.0499501346310895, 1.2177051092144118]                                        |  0.0002194675325882|      0.00800000|[404, 151, 0, 151]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      66|[0.0499501346310895, 1.2177051092144118]                                        |  0.0002194675325882|      0.00160000|[411, 154, 0, 154]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      67|[0.0483903933893035, 1.2173484479484016]                                        |  0.0002045133733191|      0.00800000|[416, 156, 0, 156]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      68|[0.0483903933893035, 1.2173484479484016]                                        |  0.0002045133733191|      0.00160000|[423, 159, 0, 159]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      69|[0.0468241944226474, 1.2170213076163645]                                        |  0.0001901431096485|      0.00800000|[428, 161, 0, 161]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
