k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      63|[1.5119356639918142, 30.11980364593085, 46.26127969423937, 41.892691076056465]  |  0.8890756964683533|      0.20589113|[674, 252, 0, 126]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      64|[1.5119356639918142, 30.11980364593085, 46.26127969423937, 41.892691076056465]  |  0.8890756964683533|      0.18530202|[685, 256, 0, 128]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      65|[1.5119356639918142, 30.11980364593085, 46.26127969423937, 41.892691076056465]  |  0.8890756964683533|      0.16677182|[695, 260, 0, 130]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      66|[1.5119356639918142, 30.11980364593085, 46.26127969423937, 41.892691076056465]  |  0.8890756964683533|      0.15009464|[705, 264, 0, 132]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      67|[1.362056377714318, 30.114352857390436, 46.267183256938225, 41.89288065885074]  |  0.6608539819717407|      0.16677182|[716, 268, 0, 134]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      68|[1.362056377714318, 30.114352857390436, 46.267183256938225, 41.89288065885074]  |  0.6608539819717407|      0.15009464|[726, 272, 0, 136]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      69|[1.362056377714318, 30.114352857390436, 46.267183256938225, 41.89288065885074]  |  0.6608539819717407|      0.13508517|[737, 276, 0, 138]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      70|[1.227206077102561, 30.107978786497277, 46.27192738034104, 41.89236629545065]   |  0.4847035109996796|      0.15009464|[749, 280, 0, 140]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      71|[1.227206077102561, 30.107978786497277, 46.27192738034104, 41.89236629545065]   |  0.4847035109996796|      0.13508517|[759, 284, 0, 142]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      72|[1.227206077102561, 30.107978786497277, 46.27192738034104, 41.89236629545065]   |  0.4847035109996796|      0.12157665|[769, 288, 0, 144]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      73|[1.227206077102561, 30.107978786497277, 46.27192738034104, 41.89236629545065]   |  0.4847035109996796|      0.10941899|[780, 292, 0, 146]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      74|[1.1178865146817512, 30.104115363097584, 46.27443523180705, 41.89309642923555]  |  0.3622760474681854|      0.12157665|[790, 296, 0, 148]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      75|[1.1178865146817512, 30.104115363097584, 46.27443523180705, 41.89309642923555]  |  0.3622760474681854|      0.10941899|[800, 300, 0, 150]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      76|[1.008579138848498, 30.099716270816902, 46.276599437140916, 41.8924824476488]   |  0.2579961717128754|      0.12157665|[810, 304, 0, 152]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      77|[1.008579138848498, 30.099716270816902, 46.276599437140916, 41.8924824476488]   |  0.2579961717128754|      0.10941899|[821, 308, 0, 154]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      78|[1.008579138848498, 30.099716270816902, 46.276599437140916, 41.8924824476488]   |  0.2579961717128754|      0.09847709|[831, 312, 0, 156]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      79|[1.008579138848498, 30.099716270816902, 46.276599437140916, 41.8924824476488]   |  0.2579961717128754|      0.08862938|[841, 316, 0, 158]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      80|[1.008579138848498, 30.099716270816902, 46.276599437140916, 41.8924824476488]   |  0.2579961717128754|      0.07976644|[852, 320, 0, 160]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
