k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      51|[0.000143329476921, -0.0001287623296558]                                        |  0.0000000167898051|      0.00048828|[328, 123, 0, 123]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      52|[0.000143329476921, -0.0001287623296558]                                        |  0.0000000167898051|      0.00024414|[335, 126, 0, 126]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      53|[0.000143329476921, -0.0001287623296558]                                        |  0.0000000167898051|      0.00012207|[343, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[0.000143329476921, -0.0001287623296558]                                        |  0.0000000167898051|      0.00006104|[350, 132, 0, 132]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[0.000143329476921, -0.0001287623296558]                                        |  0.0000000167898051|      0.00003052|[358, 135, 0, 135]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      56|[0.0001424388790469, -9.82577495072e-05]                                        |  0.0000000116056098|      0.00006104|[363, 137, 0, 137]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      57|[9.42554203929e-05, -6.07925041376e-05]                                         |  0.0000000048152708|      0.00012207|[371, 140, 0, 140]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      58|[9.42554203929e-05, -6.07925041376e-05]                                         |  0.0000000048152708|      0.00006104|[379, 143, 0, 143]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      59|[9.42554203929e-05, -6.07925041376e-05]                                         |  0.0000000048152708|      0.00003052|[385, 145, 0, 145]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[7.45938496173e-05, -3.7452726734e-05]                                          |  0.0000000027821172|      0.00006104|[392, 148, 0, 148]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      61|[7.45938496173e-05, -3.7452726734e-05]                                          |  0.0000000027821172|      0.00003052|[398, 150, 0, 150]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      62|[4.81325033716e-05, -2.225010428e-05]                                           |  0.0000000011649547|      0.00006104|[403, 152, 0, 152]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      63|[4.81325033716e-05, -2.225010428e-05]                                           |  0.0000000011649547|      0.00003052|[410, 155, 0, 155]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      64|[1.76933995044e-05, -2.00629759389e-05]                                         |  0.0000000004081298|      0.00006104|[417, 158, 0, 158]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      65|[1.76933995044e-05, -2.00629759389e-05]                                         |  0.0000000004081298|      0.00003052|[423, 160, 0, 160]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
